,longitude,latitude,adt,ugos,vgos,sla,ugosa,vgosa,Born,Dead,Errcount,Longevity,added,addeda,multiplied,multiplieda,substracted,substracteda,deducted,deducteda,exp1a,exp2a,exp3a,exp4a,exp1,exp2,exp3,exp4
430786,310.375,2.375,0.4762,1.353,-4.9138,-0.0326,0.6374000000000001,-4.743,2007-02-06,2007-07-17 00:00:00,0,161,6.2668,5.380400000000001,6.6483714,3.0231882000000008,0.2753469819691481,0.1343875184482395,-3.5608000000000004,-4.1056,24.168555600000005,11.647200000000002,9.228056120000002,20.099277965697482,24.168555600000005,-7.6664,-19.220894720000004,20.099277965697482
431028,310.875,2.125,0.6042000000000001,2.8299000000000003,4.4065,0.0833,2.0536000000000003,4.4548000000000005,2006-03-12,2007-07-18 00:00:00,0,493,7.236400000000001,6.508400000000001,12.469954350000002,9.148377280000002,0.6422103710427778,0.460985902846368,-1.5766,-2.4012000000000002,25.441558840000006,13.744800000000001,16.333888400000003,114.07984705817722,25.441558840000006,13.744800000000001,43.27415855,114.07984705817722
431208,310.375,2.625,0.3954,-1.9322,-4.142,-0.0984,-2.4953000000000003,-4.044700000000001,2006-10-31,2007-07-18 00:00:00,0,260,6.0742,6.540000000000001,8.0031724,10.092739910000002,0.4664896185417672,0.616930798328677,-2.2098000000000004,-1.5494000000000003,21.574566060000002,12.614200000000002,16.3124326,80.7739374880905,21.574566060000002,-12.614200000000002,36.24661425000001,80.7739374880905
431209,310.375,2.125,0.6147,-1.3849,3.1158,0.0858,-2.245,3.3491,2007-05-28,2007-07-18 00:00:00,0,51,4.5007,5.5941,4.315071420000001,7.5187295,0.44447653893061173,0.6703293422113404,-1.7309,-1.1040999999999999,13.54422628,10.0948,11.728971000000001,32.44385478016089,13.54422628,2.835,-23.46694051,32.44385478016089
431414,310.375,1.375,0.4946,2.7909,4.3074,-0.1308,1.7694,4.6166,2007-05-25,2007-07-19 00:00:00,0,55,7.0983,6.386,12.021522660000002,8.168612040000001,0.6479314667781028,0.3832690724775809,-1.5165000000000002,-2.8472,24.823761300000005,13.4843,15.029013560000001,98.19915473960886,24.823761300000005,13.4843,40.696117199999996,98.19915473960886
431614,310.125,2.625,0.4653,-0.5516,-4.7927,-0.0332,-1.1822,-4.5341000000000005,2006-11-02,2007-07-19 00:00:00,0,259,5.3443,5.7163,2.64365332,5.36021302,0.11509170196340267,0.26073531682141987,-4.2411,-3.3519000000000005,22.38268259,11.0606,10.75162994,14.170544946230224,22.38268259,-11.0606,16.17080584,14.170544946230224
431918,309.875,2.125,0.7271000000000001,0.8536,4.3391,0.1878,0.1491,4.7295,2007-04-03,2007-07-19 00:00:00,0,107,5.1927,4.8786,3.70385576,0.7051684500000001,0.19672282270516928,0.031525531240088805,-3.4855,-4.5804,20.64904521,10.0713,6.23005981,2.611842225302772,20.64904521,10.0713,9.093085219999999,2.611842225302772
432005,310.375,1.625,0.5785,0.1311,3.8746,-0.0106,-0.9892,4.1837,2007-05-28,2007-07-20 00:00:00,0,53,4.0057,5.1729,0.5079600599999999,4.13851604,0.03383575078717803,0.23644142744460644,-3.7435,-3.1945,16.33984814,8.9164,8.14755432,2.1022008559893623,16.0804799,7.200200000000001,-6.914827229999999,-2.1022008559893623
432006,310.375,1.875,0.5859,-0.8330000000000001,3.9926,0.0306,-1.8479,4.2677000000000005,2007-05-28,2007-07-20 00:00:00,0,53,4.8256,6.115600000000001,3.3258358,7.886282830000002,0.2086359765566298,0.4329966961126602,-3.1595999999999997,-2.4198000000000004,18.578519720000003,10.941200000000002,12.47862554,26.22848176493932,18.578519720000003,5.5794,-22.145038270000004,26.22848176493932
432470,309.875,2.375,0.5850000000000001,-0.997,2.7911,0.0616,-1.6698000000000002,3.1857,2007-03-16,2007-07-20 00:00:00,0,126,3.7881,4.8555,2.7827267,5.319481860000001,0.35720683601447456,0.5241548168377437,-1.7941000000000003,-1.5159,10.556397870000001,8.643600000000001,8.84327878,14.802664201987666,10.556397870000001,3.31,-15.938930240000003,14.802664201987666
433293,309.625,2.125,0.7187,-0.4402,3.9465,0.181,-1.0163,4.2401,2007-01-15,2007-07-22 00:00:00,0,188,4.3867,5.2564,1.7372492999999998,4.3092136299999995,0.1115418725452933,0.23968774321360345,-3.5063,-3.2237999999999998,17.18092991,9.6431,8.691127949999998,7.4861783622679585,17.18092991,6.7301,-11.923782899999999,7.4861783622679585
433477,309.875,2.625,0.7120000000000001,3.6458,-4.003,0.2043,3.0366,-3.5869,2007-02-11,2007-07-22 00:00:00,0,161,7.6488,6.6235,14.5941374,10.89198054,0.9107669248063952,0.8465806127854136,-0.3572000000000002,-0.5503,25.42919698,14.2723,19.3882098,158.9590605588862,25.42919698,-0.9075000000000006,-50.71874776,158.9590605588862
440750,310.375,1.375,0.4495,3.2313,3.3868,-0.1759,2.2098,3.6959,2007-07-22,2007-08-09 00:00:00,0,18,6.6181,5.9056999999999995,10.94376684,8.16719982,0.9540864532892406,0.5979057874942504,-0.15549999999999997,-1.4861,19.657800860000002,12.523800000000001,14.41135064,89.37993056576997,19.657800860000002,12.5238,38.53767897,89.37993056576997
