adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
0.4696,-4.2983,-1.6126,-0.0441,-4.8105,-1.3225,5.9109,6.133
-0.0529,0.0298,0.6983,-0.0186,0.065,0.6169,0.7281000000000001,0.6819
0.2649,-1.0548,-5.0678,-0.2553,-1.5399,-4.5739,6.1226,6.1138
0.7208,0.3201,0.5314,0.0207,0.2788,0.4418,0.8514999999999999,0.7206
0.6268,0.1453,0.5195000000000001,-0.0753,0.1428,0.3292,0.6648000000000001,0.472
0.5214,1.8667,4.1778,-0.0676,0.7464000000000001,4.486800000000001,6.0445,5.233200000000001
0.8706,0.0762,-0.5951000000000001,0.6041000000000001,0.0767,-0.5910000000000001,0.6713000000000001,0.6677000000000001
0.4279,-1.1506,1.0532,-0.1059,-1.115,0.9127,2.2038,2.0277
0.6981,0.154,1.0490000000000002,-0.004,0.1516,0.8587,1.203,1.0103
0.923,2.103,4.3165,0.3805,1.1879,4.458600000000001,6.419499999999999,5.6465000000000005
0.6911,-0.0834,0.6746,-0.0111,-0.0856,0.5169,0.758,0.6025
0.7845000000000001,-0.0472,0.6102000000000001,0.0834,-0.0496,0.4835,0.6574000000000001,0.5331
-0.1946,-0.3438,0.4881,-0.1496,-0.3139,0.4138,0.8319,0.7277
0.2784,1.2747000000000002,-0.6301,-0.4163,1.2324000000000002,-0.7063,1.9048000000000005,1.9387000000000003
0.3807,-3.6913,-1.9895,-0.1848,-4.6000000000000005,-1.5815,5.6808,6.181500000000001
0.3289,-1.0416,-4.8052,-0.2031,-1.3417,-4.4017,5.8468,5.743399999999999
0.6643,1.8092,-4.115200000000001,0.1718,1.3101,-4.1351,5.9244,5.445200000000001
0.4093,-0.3358,-0.5235000000000001,0.1865,-0.0344,0.3154,0.8593000000000001,0.3498
0.6792,2.2166,4.4261,0.0823,1.3356,4.8093,6.6427,6.1449
0.7341000000000001,-0.7447,-0.1353,0.034,-0.786,-0.225,0.88,1.011
-0.2729,-0.0119,0.6081,0.0638,-0.0068,0.0294,0.62,0.0361999999999999
-0.2719,0.0813,-0.6438,-0.0277,0.0613,-0.6626000000000001,0.7251000000000001,0.7239000000000001
0.653,0.5968,1.2094,0.0747,0.4499,1.0933000000000002,1.8062,1.5432
0.1418,0.0552,0.6816,0.1071,0.0287,0.659,0.7368,0.6877
0.4792,-0.056,4.0091,-0.0368,-0.7914,4.3206,4.0651,5.112
0.1587,-0.1876,0.4237,0.2075,-0.1805,0.3941,0.6113,0.5746
0.0811,0.1469,0.9558,-0.0023,0.1163,0.096,1.1027,0.2123
0.7344,0.1442,1.2108,0.0322,0.1417,1.0205,1.355,1.1622
0.2086,-0.4464,1.4445,0.024,-0.1187,0.4734,1.8909,0.5921
0.6482,0.0449,0.5832,-0.0528,0.0425,0.4565,0.6281000000000001,0.499
0.2932,-0.1155,0.5521,0.1741,0.1146,0.3274,0.6676000000000001,0.442
0.4292,-0.8911,0.2949,-0.1046,-0.8555,0.1544,1.186,1.0099
0.7862,0.3118,0.4333,0.0861,0.2705,0.3436,0.7451000000000001,0.6141000000000001
0.1076,0.3446,0.6546000000000001,0.1029,0.3908,0.5839,0.9992,0.9747
0.415,-0.9144,3.2036,-0.1183,-0.9036,3.0241,4.117999999999999,3.9277
0.7571,0.1141,-1.8074,0.0569,0.0728,-1.897,1.9215,1.9698
0.7917000000000001,0.1021,0.6588,0.0916,0.0608,0.5691,0.7609,0.6299
0.5874,1.5155,-5.0258,0.0584,0.6554,-4.792400000000001,6.541300000000001,5.447800000000001
-0.0823,-0.1704,0.6101,-0.0069,-0.1616,0.5796,0.7805,0.7412
0.3593,-2.8477,-3.0967,-0.2297,-3.9681,-2.7877,5.9444,6.755800000000001
0.7114,-0.424,-0.2036,0.0103,-0.4264,-0.3303,0.6275999999999999,0.7566999999999999
0.0636,-0.0706,0.7307,0.0202,-0.0023,0.6123000000000001,0.8013,0.6146
0.6476000000000001,3.7215,3.2549,0.1091,2.9191000000000003,3.6185,6.9764,6.5376
0.7531,-0.2095,0.4861,0.0536,-0.2171,0.3882,0.6956,0.6053
0.4258,-0.489,-4.2347,-0.1227,-1.5183,-4.072900000000001,4.7237,5.591200000000001
0.7101000000000001,-0.0735,2.4694000000000003,0.1782,-0.3737,2.8729,2.5429000000000004,3.2466
0.7052,4.457800000000001,2.8252,0.1162,3.3375000000000004,3.1342000000000003,7.283000000000001,6.4717
0.7937000000000001,0.0569,-1.1375,0.0916,0.0545,-1.3278,1.1944,1.3823
0.7789,-0.0348,1.0164,0.0788,-0.0761,0.9267,1.0512,1.0028
0.3607,0.7523000000000001,-0.736,0.0864,0.0068,-0.1395,1.4883000000000002,0.1463
0.358,-1.0096,-5.2157,-0.1622,-1.4947,-4.721900000000001,6.2253,6.216600000000001
0.4002,-3.1132,-2.4078,-0.1234,-3.9779,-2.3032,5.521,6.2811
0.4277,-1.6045,4.3287,-0.0661,-2.1677,4.426,5.9332,6.5937
-0.1917,0.0347,-0.9642,-0.2453,0.0125,-0.9773,0.9989,0.9898
0.8241,0.2599,0.553,0.123,0.2575,0.4263,0.8129000000000001,0.6838
0.6761,2.7886,-4.8395,0.1601,2.0532,-4.5280000000000005,7.6281,6.581200000000001
0.6344000000000001,0.1452,0.5293,-0.0667,0.1428,0.4026,0.6745,0.5454
0.4973,1.4887,4.6307,-0.058,0.4738,4.9057,6.1194,5.3795
0.8074,5.042,2.246,0.2785,4.181900000000001,2.4793000000000003,7.288,6.661200000000001
0.5762,0.8716,4.5121,0.0473,0.0115,4.7455,5.3837,4.757
0.1988,-0.157,-0.4471,0.0665,0.06,-0.01,0.6041,0.0699999999999999
0.7228,0.0767,0.7904,0.0217,0.0743,0.6637000000000001,0.8671,0.7380000000000001
0.6188,0.7646000000000001,3.8642,0.0953,-0.1,3.9688,4.6288,4.0688
0.4495,3.2313,3.3868,-0.1759,2.2098,3.6959,6.6181,5.9057
0.4278,-0.2623,1.1111,-0.1054,-0.2515,0.9316,1.3734,1.1831
0.0027,-0.4096,0.389,0.0625,-0.3652,0.3155,0.7986,0.6807000000000001
0.254,-0.1235,0.4848,0.0529,-0.0677,0.1518,0.6083000000000001,0.2194999999999999
0.506,-0.4471,4.662100000000001,0.0008,-1.1284,4.7035,5.1092,5.8319
0.5023,-0.2833,-0.4166,0.1937,-0.3413,-0.6513,0.6999,0.9926
0.7716000000000001,4.274900000000001,3.0664,0.2324,3.5705,3.4567,7.3413,7.027200000000001
0.1223,0.081,0.8929,0.08,0.0054,0.2167,0.9739,0.2221
0.0763,-0.4886,0.3496,-0.006,-0.1167,-0.0366,0.8382000000000001,0.1533
0.2651,3.2242,2.3825000000000003,-0.2741,2.5197000000000003,2.7729,5.6067,5.2926
0.6307,0.1122,1.0211,-0.0714,0.1097,0.8308000000000001,1.1333,0.9405
0.1693,0.0894,0.6592,0.0095,0.0273,-0.0055,0.7486,0.0328
-0.2692,0.1933,-0.5849,-0.1939,0.2269,-0.6116,0.7782,0.8385
-0.2044,-0.0438,0.683,-0.2017,-0.0035,0.6495000000000001,0.7268,0.653
0.7066,-0.5005000000000001,0.2139,0.0045,-0.5026,0.0562,0.7144,0.5588000000000001
-0.2094,0.0351,0.7233,0.1193,0.0948,0.1343,0.7584000000000001,0.2291
0.5706,0.1792,-0.446,-0.1295,0.1379,-0.5356000000000001,0.6252,0.6735000000000001
0.7264,3.9693,2.2681,0.2326,3.4062,2.3653,6.2374,5.7715
0.6515000000000001,1.9594,3.6545,0.1138,1.3832,3.9481,5.6139,5.331300000000001
0.5842,-0.3091,3.6020000000000003,0.045,-1.0136,3.9923,3.9111,5.0059000000000005
0.6616000000000001,2.7742,3.9881,0.1564,2.0929,4.0295000000000005,6.7623,6.122400000000001
1.2104,0.3125,-0.294,0.1819,0.2948,-0.3481,0.6065,0.6429
0.3405,-0.2945,0.3175,0.2148,-0.1089,-0.0404,0.612,0.1493
0.074,0.3239,-0.8987,-0.0049,-0.0785,-0.1537,1.2226,0.2322
0.6385000000000001,-0.5575,-4.6999,0.1298,-1.2731,-4.529100000000001,5.2574000000000005,5.802200000000001
0.8702000000000001,0.4249,0.3126,0.1701,0.3836,0.223,0.7375,0.6066
0.7762,0.2718,0.7113,0.0768,0.2642,0.6133000000000001,0.9831,0.8775000000000001
0.5795,1.8443,4.436100000000001,0.031,0.8150000000000001,4.5978,6.2804,5.412800000000001
0.5474,0.9288,-4.301200000000001,0.0239,0.256,-3.9066,5.23,4.1626
